Id	Title	Blurb	Category_A	Category_B	Category_C	Language	Length_of_Video	Marked_Price	Rating	Reviews_Num	Selling_Price	Students_Num	Students_of_Tch_1	Name_of_Tch_1	Courses_of_Tch_1	Reviews_of_Tch_1	Rating_of_Tch_1	Url
2445534	Successful Public Speaking Class; Full Guide to Pro Speech	A Complete Guide to Public Speaking; How to Overcome your Fear, Improve presentation & communication skills, & much more	Personal Development	Career Development	Public Speaking	English	1.5 hours	84.99	3.3757842	115	9.99	1253	4712	Ma Barakat	6	633	3.624331257142857	https://www.udemy.com/course/fear-of-public-speaking-class-improve-communication-skills/
3262426	How To Become A Top-Rated & Top-Earning Upwork Freelancer	Achieve success, enjoy running your freelancing business and build strong working relationships	Personal Development	Career Development	Freelancing	English	2 hours	84.99	4.3124623	115	9.99	11465	11465	Sandor van Laar	1	115	4.3123493	https://www.udemy.com/course/how-to-become-a-top-rated-top-earning-upwork-freelancer/
552524	Productivity: How To Get 2X More Done Each Day	Visual, Simple, And Practical Strategies For Becoming 2X More Productive And Finally Getting Things Done!	Personal Development	Personal Productivity	Personal Productivity	English	3 hours	84.99	4.841532	115	9.99	3527	53894	Derek Franklin	13	4153	4.502962779508196	https://www.udemy.com/course/wow-u-course/
726250	Effective Communication for Healthcare Leaders	Getting your points across as a healthcare administrator	Personal Development	Leadership	Leadership	English	1 hour	49.99	4.501206	115	9.99	684	1786	Lana Bamiro, DrPH, MPH, MBA, LSSGB	3	247	4.443661023255814	https://www.udemy.com/course/healthcarelot201/
3127990	Introduction to Motivational Interviewing - Certificate	A Comprehensive Overview for Professionals and the General Public	Personal Development	Career Development	Interviewing Skills	English	2 hours	84.99	4.1978807	115	9.99	481	3636	Kevin Michael O'Doherty	14	1069	4.23833881875	https://www.udemy.com/course/introduction-to-motivational-interviewing-certificate/
3632484	Conflict management: Prevention and resolution.	A step-by-step guide for reducing and resolving conflicts in both your personal and professional life.	Personal Development	Career Development	Conflict Management	English	4 hours	84.99	4.4620733	114	9.99	520	19991	TJ Guttormsen	8	2440	4.67834048271605	https://www.udemy.com/course/conflict/
3904028	Becoming a Supervisor: Leadership and Management Skills	Good leaders are able to foresee potential problems before they happen.	Personal Development	Leadership	Leadership	English	5.5 hours	84.99	4.365057	115	9.99	6079	32523	Sarzhan Jakonova	6	462	4.328601722857143	https://www.udemy.com/course/leadership-and-supervision-skills/
1349678	?Influence at Work for Managers, Team Members & New Leaders	?Develop An Executive Presence, Become A Thought Leader, Boost Your Visibility At Work And Influence Your Peers & Bosses	Personal Development	Career Development	Influence Skills	English	2 hours	84.99	4.233032	114	9.99	5631	69114	Jean-Gabriel Paquette	32	2600	3.463838168354432	https://www.udemy.com/course/influence-at-work-leadership-for-managers-team-members-new-leaders/
2650128	Practical Neuroscience: 30+ Exercises for a Better Brain	Neuroscience exercises for a better brain	Personal Development	Personal Transformation	Neuroscience	English	2.5 hours	19.99	4.401305	114	9.99	4163	10738	Ina Ilie	3	372	4.440934033333333	https://www.udemy.com/course/practical-neuroscience-exercises-for-a-better-brain/
2057665	Assertive Communication: Award-Winning Assertiveness Course	How To Be More Assertive : Self Confidence & Assertiveness : Assertive Communication : Being More Assertive At Work	Personal Development	Self Esteem & Confidence	Communication Skills	English	40 mins	84.99	3.9418006	114	9.99	1673	2633	Experts Zone	2	135	3.8636806	https://www.udemy.com/course/total-assertiveness-training-communication-skills-course/
634074	How to Find Legitimate Work at Home Jobs	I will provide you with all the information and know-how to help you find work at home jobs that you can apply to online	Personal Development	Career Development	Job Search	English	1.5 hours	39.99	4.3328257	114	9.99	392	681	Alicia Washington	2	194	4.40861015	https://www.udemy.com/course/how-to-find-legitimate-work-at-home-jobs/
800248	Prophetic Ministry and the Gifts of the Holy Spirit	This Bible-based course teaches you step-by-step how to operate in the prophetic and about the gifts of the Holy Spirit.	Personal Development	Religion & Spirituality	Spirituality	English	2 hours	19.99	4.6381207	114	9.99	371	1804	Dr. Stuart Pattico	5	493	4.621856307843137	https://www.udemy.com/course/prophetic-ministry-for-everyone/
3543626	Strategic leadership and Crisis Management	Lead strategically and control the Damage	Personal Development	Leadership	Crisis Management	English	42 mins	84.99	3.6739058	114	9.99	12609	12609	Ramy Safwat Ibrahim	1	114	3.674	https://www.udemy.com/course/strategic-leadership-and-crisis-management/
3234691	Woodworking Tools & Wood - Explained	Tools, Sharpening, & Buying Wood, are all covered here.	Personal Development	Creativity	Woodworking	English	1 hour	19.99	4.2690187	114	9.99	1367	1372	Stephen Fawcett	1	114	4.2690187	https://www.udemy.com/course/woodworking-tools-explained/
2132038	Counselling Children & Supporting Their Wellbeing-ACCREDITED	Effective psychological & counselling strategies for professionals, parents and carers - FULLY ACCREDITED CERTIFICATE	Personal Development	Parenting & Relationships	Child Psychology	English	1.5 hours	49.99	3.8840241	113	9.99	343	426	Sarah Kasule	3	134	4.049807516666666	https://www.udemy.com/course/supporting-childrens-mental-health/
